# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, Wind X, Wind Y, PID Roll, PID Pitch, PID Yaw, PID X, PID Y, PID Z, Set Roll, Set Pitch, Set Yaw, Set X, Set Y, Set Z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999509500026702469e+00,3.748622597999479167e-01,9.995310263829384478e-01,9.977122820822434957e-01,1.760521505687784081e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000021e-02,-1.075873680324936688e+00,-2.497931815655657362e-01,-1.794952617297580766e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000001106710433874e+01,6.354015034797302341e-01,9.980919726751481535e-01,9.911775239061556553e-01,1.109105030704104197e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
2.000000000000000042e-02,-3.049454654839718781e+00,-9.260207078449707030e-01,-5.813643713353960213e-02,-7.140854901451012313e-06,3.080359423212826914e-05,1.000117175565086569e+01,9.043422597783058459e-01,9.479246831897195635e-01,9.159847635027105195e-01,4.728099528107660831e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
2.999999999999999889e-02,-6.734784965882598229e+00,-2.473972405673029673e+00,-1.251555315390848189e-01,-4.211523822259954382e-05,1.536919302548356628e-04,1.000456178800803464e+01,9.659760790605977920e-01,2.786920916380977165e-01,6.944171807295205223e-01,1.420173544881301111e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
4.000000000000000083e-02,-1.131211297090793622e+01,-4.809100767507386465e+00,-2.380912589704101689e-01,-1.362506846816812563e-04,4.506660597778554744e-04,1.000982219220437308e+01,9.828759892727766401e-01,2.847198204265611460e-02,8.604164109622139955e-01,1.541513359689211660e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.000000000000000278e-02,-1.644710697510812025e+01,-7.871264651014294067e+00,-4.274189479223544086e-01,-3.542200614778060613e-04,1.071486355664240647e-03,1.001698187511703786e+01,9.865459259656794710e-01,2.249696123558847516e-02,8.712361722527428576e-01,1.174267447873555449e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.999999999999999778e-02,-2.149869406802419647e+01,-1.139919155379755722e+01,-7.014843076654011522e-01,-7.770238901182129196e-04,2.171543332835904408e-03,1.002549524990351593e+01,9.889223402928075668e-01,2.565004094408659258e-02,8.548741419692967858e-01,9.662462343995733074e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
7.000000000000000666e-02,-2.638480782708008476e+01,-1.515668668304499889e+01,-1.088455337257536959e+00,-1.506513903895131175e-03,3.936383528050911920e-03,1.003525130365668261e+01,9.902039072533898034e-01,3.174334808161167337e-02,8.409053299808867399e-01,7.531441552172064846e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
8.000000000000000167e-02,-3.110320296445799215e+01,-1.916059377725932933e+01,-1.563527731169523260e+00,-2.652705053400292862e-03,6.561782087576241776e-03,1.004616058676171875e+01,9.900328286594570759e-01,4.562783617804985759e-02,8.364870146238316817e-01,5.156913489119657051e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
8.999999999999999667e-02,-3.565702300170500649e+01,-2.344326728683603278e+01,-2.091084194643435090e+00,-4.322660394811322394e-03,1.023508648281792194e-02,1.005810902977687604e+01,9.900157184763369589e-01,5.970198024800898312e-02,8.335875343427020523e-01,3.780111927433673323e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
