# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, Wind X, Wind Y, PID Roll, PID Pitch, PID Yaw, PID X, PID Y, PID Z, Set Roll, Set Pitch, Set Yaw, Set X, Set Y, Set Z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999509500026702469e+00,1.603189188286316145e-08,3.528707643814371857e-06,9.999998180457649877e-01,3.246817037800360972e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000021e-02,-6.629324937275030694e-01,6.633584361177018440e-01,-4.810086735316974199e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.999153705084323107e+00,6.772568786396441779e-08,3.408660838282284847e-06,9.999998528052619351e-01,3.720931114995371320e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
2.000000000000000042e-02,-1.989411681778349372e+00,1.989505907299045306e+00,-1.519763364644032555e-01,7.244259109569134185e-06,7.227946075682842628e-06,9.998442061075042631e+00,4.293974368293027976e-08,4.832559079247717760e-06,9.999999514944556411e-01,3.815460919390025493e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
2.999999999999999889e-02,-4.644188867512892394e+00,4.640337607584476665e+00,-3.750942820152844970e-01,3.623909618444889755e-05,3.610341284178903755e-05,9.997999110029315517e+00,4.507505106566246524e-09,2.176641235508203907e-06,9.999999934290924042e-01,2.463985436182662280e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
4.000000000000000083e-02,-8.633747239944611351e+00,8.611193148431594224e+00,-7.559743485409582409e-01,1.232179096328998294e-04,1.224930939742417940e-04,9.997821370242339967e+00,3.278756043896596400e-10,8.254897803124792007e-07,9.999999993452346470e-01,1.145304640415431498e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.000000000000000278e-02,-1.397402159688992285e+01,1.389185762573582750e+01,-1.356800612759531788e+00,3.257078358881423442e-04,3.231356735189775168e-04,9.997898140766166009e+00,2.185795585529108050e-11,3.101965724751708894e-07,9.999999999430573272e-01,4.713433755736871439e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.999999999999999778e-02,-2.069980044322285906e+01,2.046168831413869782e+01,-2.272682124762854805e+00,7.280928518216352088e-04,7.215074586597094173e-04,9.998203763018961965e+00,4.315029531921862280e-13,5.375501716377226663e-07,9.999999999979687360e-01,7.967281934722858597e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
7.000000000000000666e-02,-2.887832652577984405e+01,2.828333542259228039e+01,-3.635599802466482178e+00,1.437223777173820801e-03,1.425127482589896421e-03,9.998687177564868023e+00,3.295954411921717070e-15,2.352850524842688989e-06,9.999999999999571454e-01,1.134686974589040145e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
8.000000000000000167e-02,-3.862926517261532666e+01,3.729435696329750272e+01,-5.623115299124759048e+00,2.573447951236360054e-03,2.560984913866827355e-03,9.999260327880962862e+00,1.718725871284647477e-17,9.288840402221761408e-06,9.999999999999991118e-01,3.071624569177702247e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
8.999999999999999667e-02,-5.015468783654910823e+01,4.739671968445734507e+01,-8.476497311471968388e+00,4.255304350913971176e-03,4.268797979827785270e-03,9.999788671763512937e+00,5.501119916448739299e-20,3.768691646697403132e-05,1.000000000000000000e+00,8.447591959193074299e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
