# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, Wind X, Wind Y, PID Roll, PID Pitch, PID Yaw, PID X, PID Y, PID Z, Set Roll, Set Pitch, Set Yaw, Set X, Set Y, Set Z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999509500026702469e+00,2.155046473387301953e-05,9.997043038618849131e-01,2.666721843283407015e-04,5.131643095967381877e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000021e-02,-6.630780277481028717e-01,-6.627529249703308922e-01,4.809104067750604589e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.999153527462482316e+00,3.498691307214835481e-06,9.999120377753371036e-01,3.910093079669055949e-05,6.495231113972319895e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
2.000000000000000042e-02,-1.989907879987162342e+00,-1.987964047463320227e+00,1.519666346218459252e-01,-7.234654287754654940e-06,7.226546328228816311e-06,9.998441446939812849e+00,5.138016290218649129e-08,9.999667694733551659e-01,8.037825353240922747e-08,2.076750906197207179e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
2.999999999999999889e-02,-4.645407530291615572e+00,-4.636980898710764798e+00,3.750880921336290919e-01,-3.619397709099722029e-05,3.609699754430266915e-05,9.997997620448629164e+00,3.144826764479976104e-10,9.999853826837121762e-01,4.875789560408578266e-11,1.182305874417169112e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
4.000000000000000083e-02,-8.636040679499220829e+00,-8.605516590449560965e+00,7.559924754951358183e-01,-1.230779452992296005e-04,1.224805290301804006e-04,9.997818584826990929e+00,1.686409268973594091e-12,9.999940547814646363e-01,2.488700416616220742e-14,6.315030803008996766e-10,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.000000000000000278e-02,-1.397767554317898231e+01,-1.388350309652541981e+01,1.356873502419559729e+00,-3.253750159968780108e-04,3.231276248603201550e-04,9.997893729550540343e+00,7.120023580129714986e-15,9.999979048425852168e-01,9.311739272399524382e-18,3.005384578526640677e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.999999999999999778e-02,-2.070496828371314990e+01,-2.045043642869688227e+01,2.272848581506879739e+00,-7.274230393753884118e-04,7.215374522510805116e-04,9.998197547248903305e+00,2.105421836683372588e-17,9.999994051659392147e-01,2.176033668925149017e-21,1.215230559632574756e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
7.000000000000000666e-02,-2.888502947416742828e+01,-2.826907072922482911e+01,3.635911658378746747e+00,-1.436031198313867004e-03,1.425264486105089646e-03,9.998679105071254014e+00,3.796246141398898649e-20,9.999998753807541885e-01,2.598052972154561229e-25,3.988269609758143462e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
8.000000000000000167e-02,-3.863742753591310475e+01,-3.727699239659464325e+01,5.623619987544158150e+00,-2.571506345591815894e-03,2.561332207285900615e-03,9.999250413101558266e+00,4.086580528195458144e-23,9.999999764015393700e-01,1.394122095238098680e-29,9.946860367498233750e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
8.999999999999999667e-02,-5.016410519840717797e+01,-4.737616495070670197e+01,8.477190915394064774e+00,-4.252356133732128340e-03,4.269487906217651896e-03,9.999776972838994027e+00,2.850939860607652208e-26,9.999999931405112452e-01,3.065260218311310946e-34,1.694882293890031917e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000056e-01,-6.379878906448418974e+01,-5.842059578450820112e+01,1.253979391970562318e+01,-6.573139958214744075e-03,6.693762844608839267e-03,1.000007563160183643e+01,7.498912883759445135e-30,9.999999980134226529e-01,1.280977332921514571e-39,1.725926683760104308e-19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.100000000000000006e-01,-8.010604933200190203e+01,-7.020259714183477229e+01,1.834676501662618264e+01,-9.577662749954633792e-03,9.973789843882583869e-03,9.999926266675233322e+00,3.828300282803312139e-34,9.999999994315345031e-01,3.316233092791386036e-46,7.405943318486641590e-22,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.199999999999999956e-01,-1.001641895428750644e+02,-8.243899960070214661e+01,2.690445108816789954e+01,-1.323402454441660950e-02,1.423767410523237367e-02,9.999103397386319259e+00,7.571466403747861086e-38,9.999999192351317623e-01,2.040364376576617209e-54,5.720069521285337378e-24,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.300000000000000044e-01,-1.274047365645934633e+02,-9.476063811361417777e+01,4.153508541121861697e+01,-1.742249846099876154e-02,1.959599872952640792e-02,9.997429526531252719e+00,4.578746529692152073e-43,9.784281011316681154e-01,1.480185488148337109e-71,1.674819983887498287e-25,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.400000000000000133e-01,-1.519495385717749230e+02,-1.067172904821834862e+02,5.225319653421611577e+01,-2.194568765736487972e-02,2.611600542376427136e-02,9.994841857147159558e+00,1.933315518578280949e-41,9.895869257248270934e-01,1.744243159622087500e-70,7.328840231728949299e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.499999999999999944e-01,-1.817797683575087717e+02,-1.179080109497010227e+02,6.694075272564438706e+01,-2.655970511645426579e-02,3.382550540261337890e-02,9.991415685793153756e+00,1.274925571937440401e-33,9.999839589098286075e-01,1.821913342553233742e-54,5.953476285134939871e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
