# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, Wind X, Wind Y, PID Roll, PID Pitch, PID Yaw, PID X, PID Y, PID Z, Set Roll, Set Pitch, Set Yaw, Set X, Set Y, Set Z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999509500026702469e+00,9.999999477319366781e-01,9.183998640564972060e-01,9.999964028857187825e-01,9.999998984015298076e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000021e-02,5.411505417616006147e-02,5.411035267784274766e-02,-3.926155920224394698e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000097749748229958e+01,9.999999357585785953e-01,9.246846005745965602e-01,9.999965469943193908e-01,9.999998983443766365e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
2.000000000000000042e-02,1.581739858939578136e-01,1.581668679087463447e-01,-1.142890329521809370e-02,2.316392135340768469e-06,-2.316911946138777591e-06,1.000391741833400872e+01,9.999998757410683003e-01,9.564697587381634225e-01,9.999978310006375493e-01,9.999999214980483941e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
2.999999999999999889e-02,3.452106017488913992e-01,3.452048874581738480e-01,-2.487254229180113629e-02,1.145761090901786379e-05,-1.146170699221075773e-05,1.001079810983102192e+01,9.999997981333846875e-01,9.773312114998681244e-01,9.999986417231967462e-01,9.999999433331853149e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
4.000000000000000083e-02,5.972185061428129105e-01,5.972272704478076566e-01,-4.289287772736538606e-02,3.788539297691189680e-05,-3.790710779654711456e-05,1.002163646539528052e+01,9.999997428539786348e-01,9.897086846470727339e-01,9.999991496473351615e-01,9.999999627485578468e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.000000000000000278e-02,8.849096301350437566e-01,8.849498177770288576e-01,-6.335194679541460150e-02,9.710855636335499654e-05,-9.719089106306736292e-05,1.003645989039273623e+01,9.999997187041681501e-01,9.957027409182114264e-01,9.999994700789348601e-01,9.999999769532977867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.999999999999999778e-02,1.190475510016424820e+00,1.190562947172321584e+00,-8.497383942317779382e-02,2.098248184519116606e-04,-2.100694310150525714e-04,1.005528477414615374e+01,9.999997166474737798e-01,9.982782313626111792e-01,9.999996723617176064e-01,9.999999862357227265e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
7.000000000000000666e-02,1.504002555291783505e+00,1.504148308264531941e+00,-1.070788207490348254e-01,4.003453770333434327e-04,-4.009535921065209398e-04,1.007811979896288790e+01,9.999997247980416670e-01,9.993194337759850887e-01,9.999997994571652171e-01,9.999999919299796813e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
8.000000000000000167e-02,1.820827657182291004e+00,1.821038112590270375e+00,-1.293673939344920365e-01,6.948556736792868083e-04,-6.961770604322172536e-04,1.010496839398853197e+01,9.999997362252915911e-01,9.997308576933515711e-01,9.999998786149820740e-01,9.999999953154261600e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
8.999999999999999667e-02,2.138971487282341322e+00,2.139250028505180090e+00,-1.517223129871249077e-01,1.120419098308295851e-03,-1.123004586439910017e-03,1.013583114115520090e+01,9.999997479469624473e-01,9.998928449095396687e-01,9.999999273809240252e-01,9.999999972974895623e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
