# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, Wind X, Wind Y, PID Roll, PID Pitch, PID Yaw, PID X, PID Y, PID Z, Set Roll, Set Pitch, Set Yaw, Set X, Set Y, Set Z
4.899999999999999911e-01,-8.827959976755723304e+00,2.222777460806479866e+01,1.053563120468669752e+02,-1.077032902270314674e+00,-2.045603365225743264e+00,1.288119695489662675e+01,9.703029223371141265e-01,1.965118408574382247e-01,9.999448990104355950e-01,3.525348074508056206e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.000000000000000000e-01,-1.060296399736555095e+01,2.728867206822855351e+01,1.075480907326862621e+02,-1.109934568781578035e+00,-2.124954452561827356e+00,1.298988682209520817e+01,9.757925792796029452e-01,2.058228397621536254e-01,9.999484084554264296e-01,3.847163445424082173e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.100000000000000089e-01,-1.227809813901091118e+01,3.257726895702452197e+01,1.095512239817716562e+02,-1.143622802929123328e+00,-2.203298674610383756e+00,1.310046881132836027e+01,9.799566180114158698e-01,2.184938687465689533e-01,9.999543706738899251e-01,4.152294713774669077e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.200000000000000178e-01,-1.384752797519962542e+01,3.810369917190173084e+01,1.113495661272229711e+02,-1.178314881715198936e+00,-2.280445693094501181e+00,1.321285511124704826e+01,9.829513237277853754e-01,2.564368976111889298e-01,9.999580600005515407e-01,4.688001277250786192e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.300000000000000266e-01,-1.530599932924338091e+01,4.388341891015856078e+01,1.129253797432881896e+02,-1.214252782462881042e+00,-2.356195481654838719e+00,1.332695467634355069e+01,9.867933622270449456e-01,3.700151473097299526e-01,9.999497507450585410e-01,6.262535784522849092e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.400000000000000355e-01,-1.663560597285590958e+01,4.994953307148886523e+01,1.142606054420112685e+02,-1.251744482413467141e+00,-2.430295274845219566e+00,1.344271436291465172e+01,9.899923694745864644e-01,5.102050818955305989e-01,9.999387890237154686e-01,7.693860323770841392e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.500000000000000444e-01,-1.784475004054487712e+01,5.631006429054747997e+01,1.153446007966771845e+02,-1.291131842364920512e+00,-2.502472007807374332e+00,1.356004608050205285e+01,9.925502425329416623e-01,6.547600318977294664e-01,9.999242216940916750e-01,8.721293346900040877e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.600000000000000533e-01,-1.894349718169646124e+01,6.296532866684392360e+01,1.161786106522299633e+02,-1.332812950120687123e+00,-2.572406452132612209e+00,1.367885430793636026e+01,9.944773703836300438e-01,7.727736962955144007e-01,9.999034509107651569e-01,9.289031955608736402e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.700000000000000622e-01,-1.997102988120634492e+01,6.987856901573290713e+01,1.167764966858336351e+02,-1.377174810339047539e+00,-2.639799178513571931e+00,1.379893449628894508e+01,9.967504155123456666e-01,8.880890582298374136e-01,9.998317083239954828e-01,9.546296270313242571e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.799999999999999600e-01,-2.097974904954858744e+01,7.696767623097926503e+01,1.171875392657894679e+02,-1.424577266240214524e+00,-2.704384658292140919e+00,1.391997093729057866e+01,9.978612430471469619e-01,9.380689023512607250e-01,9.997250527547064669e-01,9.656868955443401736e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
