# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, Wind X, Wind Y, PID Roll, PID Pitch, PID Yaw, PID X, PID Y, PID Z, Set Roll, Set Pitch, Set Yaw, Set X, Set Y, Set Z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.904999732971191502e-04,8.700870338079619293e-01,3.965451452682541216e-07,9.857076542754459725e-07,4.849138830556111766e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000021e-02,5.769937897282417794e-01,-5.769936725255632171e-01,-4.186569371637222092e-02,0.000000000000000000e+00,0.000000000000000000e+00,-9.276944100856780468e-04,8.836046106828641111e-01,6.377384607560821664e-07,1.816582225578152823e-06,7.346678153628051375e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
2.000000000000000042e-02,1.740432519457951965e+00,-1.739486711698934762e+00,-1.321485659504901544e-01,-5.565135224796162016e-06,-5.557291122409982490e-06,-1.793689973687203568e-03,8.391249808547949218e-01,1.352992425504291942e-05,1.558009836255359099e-06,1.683577391116010250e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
2.999999999999999889e-02,4.039067060210621563e+00,-4.033949278222098478e+00,-3.215799646374469800e-01,-2.708005819155250666e-05,-2.700692769246319130e-05,-2.572890461926634082e-03,7.770550106148155223e-01,2.093191905208264571e-04,2.273299730642621432e-06,2.467903092182973301e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
4.000000000000000083e-02,7.444658731360796367e+00,-7.425273624828339081e+00,-6.331800961042316489e-01,-8.845188274656929338e-05,-8.805032395875269919e-05,-3.297354112058783863e-03,7.112999358161198327e-01,2.775577191663854051e-03,3.372797008545995187e-06,3.103931627647187573e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.000000000000000278e-02,1.189271106676349277e+01,-1.183467705041102924e+01,-1.097609178340915426e+00,-2.238508079149916820e-04,-2.224254591550150876e-04,-4.038094540907866126e-03,6.507148070635540016e-01,3.088077359101872379e-02,5.191462414669541007e-06,3.273047484338808405e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
5.999999999999999778e-02,1.731839081539370184e+01,-1.717067374727393414e+01,-1.754633104632331353e+00,-4.848852855302560180e-04,-4.811095996052738161e-04,-4.848709492013365471e-03,6.009491222997611626e-01,2.493316863398444827e-01,8.509441655020301068e-06,2.507148784115328377e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
7.000000000000000666e-02,2.366576088701888381e+01,-2.334789734135337724e+01,-2.635932302507513203e+00,-1.004117015449374969e-03,-9.960415458273729102e-04,-5.571938905004234985e-03,7.250276817370199245e-01,4.195266914428627536e-01,1.077010361895957378e-05,4.936250587864186024e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
8.000000000000000167e-02,3.107138934422612664e+01,-3.033933783683882979e+01,-3.815764469459600239e+00,-2.004848435519482937e-03,-1.994700784841261718e-03,-5.987605036404228601e-03,7.767441027588427582e-01,4.975286161006319818e-01,8.361710018839582070e-06,6.639769220658087168e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
8.999999999999999667e-02,3.965288509086341406e+01,-3.806510038249075478e+01,-5.347970065598159017e+00,-3.770259871463569907e-03,-3.781119672962992076e-03,-5.861116341265892697e-03,9.138582423079466555e-01,1.440679417889367819e-01,5.211908450495953855e-06,3.680622849590806100e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01
